name,position,cost,points
Hyun Jin Ryu,P,9700.0,25.0
JP Sears,P,7500.0,25.14
Davis Schneider,2B,3900.0,16.91
Zack Gelof,2B,3600.0,12.36
Vladimir Guerrero Jr.,1B,3500.0,10.42
George Springer,OF,3400.0,10.4
Ryan Noda,1B,3100.0,9.46
Esteury Ruiz,OF,3000.0,9.86
Brent Rooker,OF,2900.0,9.25
Whit Merrifield,2B/OF,2900.0,9.77
Daulton Varsho,OF,2700.0,8.01
Jordan Diaz,2B,2500.0,6.46
Cavan Biggio,2B/1B,2300.0,6.65
Carlos P̩rez,C/1B,2300.0,5.25
Ernie Clement,2B/SS,2200.0,5.66
Nick Allen,SS,2200.0,4.65
Santiago Espinal,2B/3B/SS,2100.0,5.57
Jonah Bride,3B,2100.0,3.82
Kevin Smith,SS,2000.0,5.03
Tyler Heineman,C,2000.0,3.45
